"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000215182",34.811378582138,3.97037392871478,0.694086692700877,5.72028533390402,1.0634531029486e-08,1.68988845890682e-06,"MUC5AC"
"ENSG00000134827",10.0173142981737,4.01669156877879,0.702199237597014,5.72015939881145,1.06424164370051e-08,1.68988845890682e-06,"TCN1"
"ENSG00000174705",420.855021305422,1.14630532058854,0.200424931402163,5.71937489297882,1.06916662674062e-08,1.68988845890682e-06,"SH3PXD2B"
"ENSG00000070759",118.414199793502,-1.13833727464421,0.199171039576693,-5.71537547358074,1.09462055842213e-08,1.70862790395692e-06,"TESK2"
"ENSG00000138028",105.521467262141,2.32362190109556,0.407115080451583,5.70753089892454,1.1462681664784e-08,1.77066772334881e-06,"CGREF1"
"ENSG00000183742",479.743387589664,2.00958266325025,0.352131054643735,5.70691689002955,1.1504091848142e-08,1.77066772334881e-06,"MACC1"
"ENSG00000196754",35.4772506893498,3.29414691316375,0.578208437489041,5.69716161090469,1.21818443759321e-08,1.84451488481105e-06,"S100A2"
"ENSG00000110243",230.411881064947,-7.11631167152998,1.24910354266972,-5.69713512806172,1.21837360582004e-08,1.84451488481105e-06,"APOA5"
"ENSG00000198535",53.8767298411594,2.84936262322934,0.50048812158027,5.69316733079019,1.24704062618704e-08,1.87660945968303e-06,"C2CD4A"
"ENSG00000129451",115.384466756301,3.8846814674701,0.683200100683733,5.68600833574584,1.30043050223094e-08,1.94530469949797e-06,"KLK10"
"ENSG00000114270",232.430702157672,1.80011131264758,0.316696383320933,5.68402863894844,1.31558232145254e-08,1.95632540357537e-06,"COL7A1"
"ENSG00000050344",591.662620886317,1.92243245178394,0.33848547456646,5.679512405211,1.35079253669765e-08,1.99519763808215e-06,"NFE2L3"
"ENSG00000117592",1894.76504432315,-1.02409759602244,0.180341662864417,-5.6786522856472,1.3576013533566e-08,1.99519763808215e-06,"PRDX6"
"ENSG00000130513",896.979358512338,1.90226687238274,0.335434698287725,5.67104978135277,1.41925146966228e-08,2.0736372056617e-06,"GDF15"
"ENSG00000011426",352.875976397202,1.87657452169821,0.330962034293605,5.67005978707953,1.42747696701076e-08,2.0736372056617e-06,"ANLN"
"ENSG00000181577",254.467278013928,3.48835555580936,0.615566875327349,5.66689939895531,1.454046541455e-08,2.10009446168424e-06,"LINC03040"
"ENSG00000256612",37.2459369164916,-2.52326305426698,0.445794945790517,-5.66014280353165,1.51247084712191e-08,2.16483932896895e-06,NA
"ENSG00000269404",231.581512779212,-3.39352406079927,0.599591027543913,-5.65973122496523,1.51610251043944e-08,2.16483932896895e-06,"SPIB"
"ENSG00000137868",37.0814484231748,3.42929498705199,0.606290684944391,5.65618946853277,1.5477061006775e-08,2.19318747343109e-06,"STRA6"
"ENSG00000170369",7.96867240618431,4.39324275281747,0.776800967470222,5.65555777707741,1.5534096147019e-08,2.19318747343109e-06,"CST2"
"ENSG00000177410",281.308724225574,1.17680722089073,0.2081967556399,5.65238020772113,1.58241078798116e-08,2.21908461257917e-06,"ZFAS1"
"ENSG00000064666",904.257748629205,1.10677613383393,0.195833377340398,5.65162154105185,1.58941240008058e-08,2.21908461257917e-06,"CNN2"
"ENSG00000159216",443.848639320798,1.09718474898428,0.194362053443059,5.64505637570717,1.65127130652382e-08,2.29271266321824e-06,"RUNX1"
"ENSG00000163132",11.0998091428779,2.73890029997512,0.48574150097411,5.63859644375147,1.71441791638009e-08,2.34157807916022e-06,"MSX1"
"ENSG00000119950",568.767021293997,-1.00809522376101,0.179052004486441,-5.63018116804913,1.80020428285002e-08,2.44271806440972e-06,"MXI1"
"ENSG00000163581",544.322949134611,-6.05382487691263,1.07538582573295,-5.62944455101641,1.80790879782025e-08,2.44271806440972e-06,"SLC2A2"
"ENSG00000176170",83.5556518966762,1.77803377734153,0.315920341012988,5.62810793265265,1.82197076092727e-08,2.44855332582156e-06,"SPHK1"
"ENSG00000100593",27.3380515365911,5.16788228860877,0.919987039943258,5.6173424887893,1.93916810190034e-08,2.59219327493923e-06,"ISM2"
"ENSG00000174939",50.1292860762443,1.75881172680121,0.313424459853201,5.61159689842007,2.00467982282913e-08,2.66558775806978e-06,"ASPHD1"
"ENSG00000100652",142.286201867493,-5.14059814679791,0.917212790159394,-5.60458620066187,2.08753080265666e-08,2.76114403166129e-06,"SLC10A1"
"ENSG00000171388",51.9689113869227,2.52342508968565,0.450463880966244,5.60183667616793,2.12092351689175e-08,2.79062454989563e-06,"APLN"
"ENSG00000203499",154.505026484663,1.87268258363541,0.335089572108234,5.58860298711574,2.28903608884431e-08,2.99613364316387e-06,"IQANK1"
"ENSG00000165757",177.299359663746,1.51646244704855,0.271446926915348,5.58658911442187,2.3157274314731e-08,3.01536508188344e-06,"JCAD"
"ENSG00000196335",22.2499125703413,2.66475927367075,0.47773910478246,5.57785462189486,2.43503020992364e-08,3.15436825802015e-06,"STK31"
"ENSG00000178773",159.825207844665,3.26185812658271,0.585172917167313,5.57417821448848,2.48701040681788e-08,3.20518248890975e-06,"CPNE7"
"ENSG00000042832",38.9988963676961,3.01608694260325,0.541377617035514,5.57113343384751,2.53087394426326e-08,3.24507107618776e-06,"TG"
"ENSG00000235621",5.09894622281334,-2.31785860159027,0.416444057235074,-5.56583426109953,2.60901136221655e-08,3.31684848132034e-06,"LINC00494"
"ENSG00000072110",2322.99934078,1.09850125634903,0.197375106154576,5.5655511870313,2.61325056424904e-08,3.31684848132034e-06,"ACTN1"
"ENSG00000101323",243.265752661081,-7.11560701440042,1.27900702260762,-5.56338385061657,2.64592996152899e-08,3.33050831635045e-06,"HAO1"
"ENSG00000182963",52.1499160951348,1.82828634003397,0.328749018808169,5.56134386852972,2.67705117701268e-08,3.34711309102018e-06,"GJC1"
